tconst,primaryTitle,startYear,runtimeMinutes,genres,director_name
tt39528862,Drax,2026,97,"Comedy,Drama,Horror",James Demitri
tt36619973,Jason Voorhees Nightmares A Friday the 13th Fan Film,2026,,Horror,Aaron Carlson
tt20883096,The Hellgate,2026,,Horror,D.J. Remark
tt2949118,First Witch,2026,,"Horror,Thriller",Manuel H. Da Silva
tt38275455,Dark Places,2026,,Horror,Geno McGahee
tt36743565,The Drop,2026,,"Comedy,Horror,Thriller",Michael Kallio
tt37213418,Polaroid black,2026,,Horror,Brad Romeo Hodge
tt39530053,Snakes 5,2026,108,"Drama,Horror,Thriller",Zhenzhao Lin
tt39571623,Passage,2026,,Horror,Andrew Twibell
tt39427952,AbSolved,2026,,"Drama,Horror,Mystery",Kevin Hejna
tt37918540,The American Veteran Sleep Experiment: Test 2,2026,120,Horror,M.C. Nowell
tt39523061,Nightmare Transmission,2026,80,Horror,Tom Steeber
tt39074250,3rd Night of Prayer,2026,102,"Horror,Thriller",Yannie Sukarya
tt4634974,Pacífico,2026,,"Horror,Sci-Fi",Gonzalo Gutierrez 'G.G.'
tt38353877,The House on Haunted Grounds,2026,69,"Action,Horror,Thriller",Brendan Rudnicki
tt39046127,Ted Bunny,2026,91,"Horror,Thriller",Michael Fredianelli
tt33303515,Ed,2026,,"Horror,Sci-Fi,Thriller",Christopher J. Scott
tt39245815,Tell Me Some Creepier Stories,2026,,Horror,Ossie Mcintyre
tt33484799,Rabbit Ears,2026,,"Fantasy,Horror,Sci-Fi",Anil Dhokai
tt17043156,Thread: An Insidious Tale,2026,,"Horror,Mystery,Sci-Fi",Jeremy Slater
tt39397627,The Grim Rapper,2026,,Horror,Hugo Velazco
tt35050712,Saccharine,2026,112,"Drama,Horror,Sci-Fi",Natalie Erika James
tt23038860,Midnight Maniac,2026,,Horror,Justin W. Smith
tt39281779,Wild Swimmers,2026,78,Horror,Ric Rawlins
tt37716872,Turncoat,2026,,"Drama,Horror,Thriller",Christian Pichler
tt6157414,Nightmare Hospital,2026,87,Horror,Steven M. Smith
tt35401526,The Great Crimson: The Movie,2026,,Horror,Siqueira Dos Santos
tt36822366,Evil Dress,2026,,Horror,Jacob Santana
tt39205344,Haunted,2026,80,"Horror,Thriller",Myles McEwen
tt38813589,Strange Spirits,2026,,Horror,Justin Bond
tt30874432,The Watchers,2026,124,"Horror,Mystery,Thriller",Aidan Campbell
tt39373536,Cinephile,2026,,Horror,Sean Crayne
tt15150462,Ombis Alien Invasion 2,2026,,"Horror,Sci-Fi",Adam R. Steigert
tt35538033,Resident Evil,2026,,"Horror,Sci-Fi",Zach Cregger
tt39165364,The First Five Nights at Freddy's,2026,95,Horror,Jayden Jaygames Michaels
tt39523061,Nightmare Transmission,2026,80,Horror,Ron Ford
tt39523092,Monster History 101,2026,77,Horror,Ron Ford
tt38789458,Control Your Fear,2026,,Horror,Andrew Zeiderman
tt37281055,Buddy,2026,95,"Horror,Sci-Fi",Casper Kelly
tt39400149,Capture,2026,,Horror,Bruce Wemple
tt18950916,House of Ka,2026,,"Horror,Mystery,Thriller",Josie Eli Herman
tt28784376,"Mum, I'm Alien Pregnant",2026,95,"Comedy,Horror,Sci-Fi",Sean Wallace
tt37918540,The American Veteran Sleep Experiment: Test 2,2026,120,Horror,Steve Balewicz
tt38552544,Echo,2026,111,Horror,Egorov Andrei
tt33473204,The Dolls,2026,90,Horror,David Wilde
tt33451001,West Haven,2026,,Horror,Stephen Ellis
tt7584540,The Format,2026,,"Comedy,Horror",Vimalraj Jayaseelan
tt37340919,Imposters,2026,102,"Drama,Horror,Sci-Fi",Caleb Phillips
tt39427952,AbSolved,2026,,"Drama,Horror,Mystery",Jesse Hutchins
tt33097213,Crimzon Harvest,2026,,Horror,Xander Goldman
tt9000310,Ghost in the Cell,2026,,"Comedy,Horror,Thriller",Joko Anwar
tt35396516,Rum Yetimhanesi,2026,,Horror,Anastasiya Budakva
tt11572502,Danur: The Last Chapter,2026,,"Horror,Mystery,Thriller",Awi Suryadi
tt22868010,Return to Silent Hill,2026,106,"Drama,Horror,Mystery",Christophe Gans
tt34383418,Monitor,2026,88,Horror,Matt Black
tt27369017,Hope,2026,,"Action,Horror,Sci-Fi",Na Hong-jin
tt12401010,Fifteen,2026,97,"Comedy,Drama,Horror",Yossy Zagha
tt12401010,Fifteen,2026,97,"Comedy,Drama,Horror",Jack Zagha Kababie
tt11597938,Lenore,2026,,"Horror,Thriller",David Ward
tt38934461,Dai tiec trang mau 8,2026,,"Comedy,Drama,Horror",Phan Gia Nhat Linh
tt30842022,The Dreadful,2026,94,"Horror,Thriller",Natasha Kermani
tt39314176,The Weight of Eyes,2026,81,"Drama,Horror,Thriller",Jason Figgis
tt37840127,Give Me Something Good,2026,,"Comedy,Drama,Horror",Clay Moffatt
tt8879928,Cold Storage,2026,99,"Comedy,Horror,Sci-Fi",Jonny Campbell
tt35228788,Portal to the Dead,2026,80,"Documentary,Horror",Silas James Rowland
tt39018561,Sengkolo: Petaka Satu Suro,2026,104,Horror,Deni Saputra
tt36364104,Minnie's Midnight Massacre,2026,,"Comedy,Horror",Brett Bentman
tt13245002,Booo,2026,85,"Horror,Sci-Fi,Thriller",Joshua Coates
tt39143902,Leviticus,2026,86,"Horror,Sci-Fi,Thriller",Adrian Chiarella
tt38984885,Betty's Revenge,2026,,Horror,Brett Bentman
tt39045215,Bhabiji Ghar Par Hain - Fun on the Run,2026,,"Comedy,Horror",Shashank Bali
tt34693872,Alone in the Darkness,2026,,"Horror,Thriller,War",Un Bunthoeurn
tt35529420,Bhanupriya Bhooter Hotel,2026,129,"Comedy,Horror",Aritra Mukherjee
tt37787385,Exhibition of Evil,2026,,Horror,Darren Ward
tt13245002,Booo,2026,85,"Horror,Sci-Fi,Thriller",Fetteroff Colen
tt39570037,Mechanical Eyes,2026,,"Horror,Sci-Fi,Thriller",Josué Ramos
tt33550089,Ghost Date,2026,,"Horror,Thriller",Erik Bernard
tt39370389,The Hunt,2026,,Horror,Michael Crum
tt9765352,Regresa,2026,,"Drama,Horror,Thriller",Rigoberto Castañeda
tt39385342,Obscuria,2026,,Horror,Miguel Ángel Carrión
tt35893068,Drag,2026,86,"Comedy,Horror,Thriller",Greg Yagolnitzer
tt31945129,Winnie-the-Pooh: Blood and Honey 3,2026,106,Horror,Scott Chambers
tt38492840,Play House,2026,,Horror,Nicolas Curcio
